Date,Open,High,Low,Close,Stock,putIV,dt
2020-12-08,372.03,375.67,367.0,371.07,LULU,0.38019418640136715,
2020-12-09,374.51,378.5,361.84,363.56,LULU,0.38019418640136715,
2020-12-10,367.02,370.68,359.78,369.07,LULU,0.38019418640136715,
2020-12-11,366.33,366.57,343.28,344.32,LULU,0.38019418640136715,
2020-12-14,344.0,354.83,337.07,352.37,LULU,0.38019418640136715,
2020-12-15,355.94,360.81,353.62,356.07,LULU,0.38019418640136715,
2020-12-16,357.21,363.5,351.57,363.1,LULU,0.38019418640136715,
2020-12-17,367.0,387.37,363.99,386.07,LULU,0.38019418640136715,
2020-12-18,387.06,387.22,373.18,378.05,LULU,0.38019418640136715,
2020-12-21,373.36,377.77,369.46,373.4,LULU,0.38019418640136715,
2020-12-22,373.75,375.0,357.52,360.07,LULU,0.38019418640136715,
2020-12-23,363.0,363.99,354.98,355.13,LULU,0.38019418640136715,
2020-12-07,47.69,99.99,46.6,91.72,LMND,1.0360155621337894,
2020-12-08,97.31,97.65,89.35,90.6,LMND,1.0360155621337894,
2020-12-09,92.01,93.75,84.1,87.39,LMND,1.0360155621337894,
2020-12-10,85.23,111.68,85.01,99.7,LMND,1.0360155621337894,
2020-12-11,100.75,101.25,87.57,91.59,LMND,1.0360155621337894,
2020-12-14,97.42,98.09,90.1,92.0,LMND,1.0360155621337894,
2020-12-15,92.23,93.18,86.32,90.8,LMND,1.0360155621337894,
2020-12-16,91.88,96.39,89.64,96.36,LMND,1.0360155621337894,
2020-12-17,96.66,105.27,94.42,103.56,LMND,1.0360155621337894,
2020-12-18,107.15,108.98,99.76,106.51,LMND,1.0360155621337894,
2020-12-21,104.0,111.09,100.25,109.07,LMND,1.0360155621337894,
2020-12-22,115.0,119.5,110.74,119.08,LMND,1.0360155621337894,
2020-12-23,122.64,137.29,122.34,134.45,LMND,1.0360155621337894,
2020-12-07,58.25,86.74,57.71,82.7,SAGE,0.6875031250000001,
2020-12-08,71.53,72.4,69.85,70.85,SAGE,0.6875031250000001,
2020-12-09,71.48,71.85,68.34,69.19,SAGE,0.6875031250000001,
2020-12-10,69.0,71.25,69.0,69.67,SAGE,0.6875031250000001,
2020-12-11,69.49,70.99,68.01,69.04,SAGE,0.6875031250000001,
2020-12-14,69.88,73.32,69.64,70.68,SAGE,0.6875031250000001,
2020-12-15,71.12,72.0,69.69,71.87,SAGE,0.6875031250000001,
